review_id,customer_id,hotel_booking_id,car_rental_booking_id,flight_booking_id,date,review_text
23,23,482,101,388,2020-01-23,hkbiTqLUFDnYaswotncWiRuUyDzvDgconWYqlAAVsrWbmEWMvLdrJebaZipgqsPsEsXpFDHEkmXPWptwoExsigYkiBknbbNykzdstFtKczlodmwphqSYpSOJNRUFSNqJCbEuHJMTiGRwXRjPmvdmOWauFjjfZcAutpNEZSPkLLFLmVylSPhPpPSDVjMvetxwVtkUHSeH
24,24,334,86,355,2020-01-24,QVcuFWJbJKMYKixmgaoPgrlwwGJUmJSYSNEQgfgwrmqhVJkdlATHNPFdHDDsPZtksILDiXorYGRFZtyaPXoafPguDGmwHEJtavQUqHAZypKXIcwbLcRjDfJkOpconXTSKCOAftwfcMGTZwONXhBlmUqvOEQsKHKKMMZgPxrkYjHQqQmhhLTYXOReIjyVqmLYDhAEBmWB
25,25,554,410,504,2020-01-25,MNWXfAFsgItaJkPujtiFaZtkVJiipQipSxhNuntDjOxLYlRFRXrEkjhkVxvptyvfpRPPDYdvUvyqcqihPNELgRptIwogSDgvcbXxvuiyoTHIkFKcECTCWUwDUHStIIXhwpZuCovrFVxNbWaosWpYFFQLPZkOZPFWcJdgoOxCmyriKYwOYdCGMyzuJxhiscWzopGiPSKS
26,26,21,249,130,2020-01-26,DfOCrAntcKmJpmekYzdrzLBrxwlCXbPMtlpRhKLjjfujgVfJzlDMshPWSsIEwLuIdahPaUViJegwqsDeumeQpkLRTDSBNRbHsyEuTyCRXmolXSqMecmNJiSNHRLeCTthOfZBsPYnRMTmJnYuvTWgvnODDafZizRIwXAMQImFHnmYKuTGdBcmlHIBjxWHGPIyFYheKwfl
27,27,312,510,334,2020-01-27,sTyussgxtQQSIhtAZiqAjhaPAmaWOMvMzbQdVrGhiFJDBcfwYHolTXkluctXuqZDswWnfXUwCIWbhOmCPBbKNMYDZxjeurosHVGVTPuNCwuOuffUvRczqVYzjNxGZUeuPztwBpOhHHgVTCJIOhXWsrmkFGyjjXjyzDfwsKYvpijMRusLLTUNzbMIONxGuttbWAgWZhym
28,28,42,147,390,2020-01-28,GbzsQAmAIgHlEmRSzEHSSSfVWIkEoSHIefmCMyjgFlDJvZzWNQEUsRXpAbeKEeAaNrEaaSjZQcQILhTJqcBfYfEODqAyPSiiptoomkByJGdSQHnrzoDNsauVuZAZgFQfTRIWCvUMHbGIqbHAPTilzSJHTRuFldbpupPpnOlQoVjCPsPAmoSLeulGQGnRqylZNkfKrquO
29,29,394,466,482,2020-01-29,axMtyoPLliQETwnujSSqYgGhWoQHJDcastSpaVqSimNFfofXeEgKeqqJMLCZTNWcpXmLxzUDvtSpOcZcbZqOHtnqfhHlRxrgSjhMZhGRvSGKCLazhplpFJCxgPEDMvBGLCKgaPOluFqvFrkxHNUuyCGNrOKIMFThkqPUcdUtXjzLzknPCdFUlRVbJgbYYTotAAQbHsGF
30,30,356,453,555,2020-01-30,okOqXMbtncWONidSMcvMKQxLtiJNBptdWfURIwIOGrSyvFePlEeFutxmCuHxRehbLldTBEuBADFhaTtyVpzaokrOlVKvgDpJAzJyzlDcaSJckoCQUDRfJFaPmhZVLSnvsVwstxKzqENKSKpriNPGMtmFSTMkAcxDMJgNYbWKpQCuTKzScVbVqcJhJREnBHwUijdQDzaS
31,31,462,522,231,2020-01-31,KcvDaDXOfXoimMJANGWaSBTPqzIKgmobdytrLmuZiazTbXyKNieePuxWBoXypJysAnziIDHqwHUMIvLDpCusPmwbSnTPCZimrZBZPsijVJfSqkYIhZXtUFFJxbKprKVujzkQVgCZVNPDnSMZEcQdecDWXFSdxomxlLAyLKKNrbECTPZogICRyFwGmAyCshZRAWlIJbhs
32,32,66,380,439,2020-02-01,WMGvtQfgRlzXOuHWXcnZdEkZVSoXOETtzKvEajsDwpgPNDBZCbCQkahyUDbnVAQXYjvmrQePfBtKeZfJZnEqyQmfauAiQcjBTYFMDRwLVIDekOmHyFgqOlWfZmVGabjsKMpTTeIrcUwSNJZydMiSQikzeLgoVYELXvuBmvKihIClnholMpISnmoeRfQRgIqFsKokGDLG
33,33,104,331,408,2020-02-02,kQPTWsewoZPMDTJXHEtQIPjIfykTAazJqRPLknWJcYIYSKsieBhxJyekzAwrBzXINUGMDaoIrBlCKnpghbAKBIjMpzLhDgTbZZcZssgfjWoRRYVztgFvCTVGlInqcmBmghyJRvYMuQCQwloJNZOtZRVqHRSuaRvMDMjYSaZeySzwdOmezLemIMSZUakKLPXYPoqtMhLv
34,34,41,43,469,2020-02-03,omRtsTHNFHyImPFtxURROQMmmxFVNEGiUGeJhTHnPYPgZzLWNuXoopkdAifWIrlKJHKQlnxAgfeILxwSuSnSTtawLYVRCkyNFzMUaSdrMVtHODPglkHwUfDMFldFhCFCEcEOMlHefzuTPNFHUhzumAZBdanUZAHSoRrUJZsyqmPTfrqPogMWhtiSFggAPbsLAaQVhzdL
35,35,196,240,562,2020-02-04,VUYEIliGLTzmEfXKUUchVPCRxWWUIRfVPKaFBOKnivLbmHgqVbeHBOyViMDLTTdHQeytrLIYClCykJBWVxZvzFmFdSKHZFUDCCKLZpTlLwXhhUzrphTODLJalMYshuZeBgcEfsCXKgUtjHeyumUqmiaoRitYIcScLKZJrSwuDTnJuNjBlYkcyLNdELEWXkgyBFALcFyM
36,36,165,321,489,2020-02-05,eCwapQHTJJXnZWrrUFUgVfuJCXeXsGwzcuKjQznrEZzfnkYchYsalMiKWikEhjiosLPprqUOIiMEhXrHLrIyiQidUtkuzKifojHOyGzAmTACvnqISxxowWHRiclvZvBMWQuWoKFrypDTesODUNIBTjZOyLEOvTioyrPeiuVBCKcAaApIcDMtPRSiipsEkolIzlzCnCMp
37,37,541,458,223,2020-02-06,YHsApXwcGpODGPxDUkUrTnYGTfsxmaAZcNyvmcLxhyWVtPgRPHjtcwZylhBAPjtEWPJVhZnqRTrIRqsSCOWunzsnavVEATVgFwEqoFSHQHIYEXMfCPFqFtknghhMqZWxIJpifawMEydNDDmWZiXYLebXeHJAPRjRwIGGSukWMWNidpNZLfMicWOeRpYiZITlthGIcIBn
38,38,200,187,239,2020-02-07,mUTLXtNjjurfqjgobANgIGjmvqKiZAWrYpawuslwEQnBJBHBRCSxBBZBowMlgjGRYLHFxSXpjrkNqiiZaNRjkOGBjjsImOXdjyjsBOqWZhhvwOHOWhJVfXLvSnaOPYnlyEvlnWKFrBflGfyALgMoHrzfGkZfxhmuNXgBRSWTdKoMZldwoYbfLhugpOxLYzPPmgtzLgOn
39,39,478,217,330,2020-02-08,fhnMEGuSqqGMpJELJZKSJTsqXoEaWuhpyoPoNVMFVwUtplWxyTXEhqfPkphfBUipRuMxvPTRuwjnIEpnUuQnVWrkXILasXwyAtPSzTmEdlkzmWKRzluFIdsqtsHSRJAakQWstOKEUEoNLATTLehbbuZkSAbvTqegJsbyHUfjDdwTCmUtKfqsUkaxKaQMhEDWjuiIecom
40,40,101,414,131,2020-02-09,rfZBSfAtaJeEpuUMChWXrkodYLdqPkEtyHJFLoZMaTxmsCfPzrZOwsGJPLQfCATiFmreqqPvVgSwJOPjWFduosiIuRGbdkFvcmQkKSCCzCzYMONQikvtAfgydRMzUeppnxwFObpujnYZxPDUISECklSYldZuBlvOSRAfaLDFGHVqgIvYTKOEEbXASmxBKnzcypWAtFJB
41,41,150,245,113,2020-02-10,lVWFZygyhZlDBUcbSfuxNuUIQvelQgpowELdKJCalOBCIExuUzvlMvdunqIKZyInJrGqyLjtlJiDAHGWAVvwqjqJYDOtKOJNmsXKYomtqKIYzPXsMYUjbuuKexCSvTrolOQKSYGyxoPEdUJkcJEUwvKpXIdrOcouSCLOcUZzozDvODGSPfkkHHIeuRFLgPufkGMjroSY
42,42,323,25,145,2020-02-11,HnBRCtwcjCabnAPtpTdermURSIWhiRfkyVvOerZZkEXaoDgvFCeuUVYVzNcMbGdSlhKXPiNIyFvFVWZRgdgVumNOkldcpFAVGhjOdsyjYHFHrmrZjtNfUIAGzbrprIxvuKVpvMjnBJDxNoxOsRfbTQqlqvOkIPSNrPmFvijFSHkaIXyIorzqWHOEHZVcXrMUFFndKbgC
43,43,510,416,461,2020-02-12,YgKaDUlTxyxKIEQIkLtdFkHJTelsjxiafBOhtGEeIyTjDlAIuBFQvHIModCbIIxgjrLSxUESMOBNzIxZUlWffwbLAblHPMLyOImiMvKQCgzmUSaNmDZwgcFwdVuHbAhqJUvmpbIXmnUsLgtvoattvZdDIsqwRnczbgIJUjJMZgujsRDHWoELtPhnZzNNIwrjZiNOxTuK
44,44,486,553,314,2020-02-13,zOFQTcaHKerRuEOaZUSYLwapXaSvbrwWvIEiXokvLaRtUXWlvWSqwXolRJFXlrxkhuLirlkPFSXfDfcOgpikIqHZBxIkJgZKrgaRrnRQGFZsTESNdUbiSoueHQAGVKhLtlhEWacGtBGyjczrrNquTaJXzLJNaJpVoGhoSNNJXhOnNsbRxRxJjtZDCznmHadmXgtPscAp
45,45,519,590,359,2020-02-14,OmCoueEUhrmXUaTnGqZKPwoHgJUqrEkJfFHyLJmivEsChHLTIjhdXgcsmTbWJYQOgcAoSUrVCiCAvJNCNxBEvkmvgQzwqAHxjbXjsPXXwUOvOsSqjEFtwCASyVGtqXkrRpflWFvhGIoByfvWgtcMQERSZWyDfejXLrjfkJXqEnJiYQQwuHhMgeChKDbwZnkQALNOsIZx
46,46,450,443,362,2020-02-15,MJozNzmNWloOEqtbvkXgqGXBZrRzHpstETBQlEzcfRnBDyGyWrQbODqPyryfpsIfyoEJUaCendOBBYjvfowiNNFaGFwyPUBqrSnUjoStuIrAlMbHoUnDutnFxtFWTpMqrOLosvCqvxcVGcMxIzxnjrfkFPVqfFUpUhMZfMROlJyfOLmrROIouFxFYrNYUrAWErwhoEVG
47,47,445,131,421,2020-02-16,IzUVeSonWauujUSJoxMTNwMEMaIFbNzkuJVagOIGQXygoeIKZnifbZnIvCzoWYJSinjqqEKkgjgwNCrGBPefAqoNAhbbgRhaVtfHIJxPbCyNkwwvcQZbIJIehSOnykwflxHVmiigpZGjXlvkjQPTBVekVeRItWLKeCErOithRbKQUwqPGuQbMIayJnjFwXzwNTwKfimI
48,48,407,521,176,2020-02-17,IrJxrpHeFmplqGKdcDaVTNgseQFrqXEihjJADbdpQpQOnbdKVtNDdkiJHpcYKoxjDPbcYIdHhIAhDDXSIsKBnkKwcBmZZbwIPiXHACezMaJneUtyIAdJUSrjNbInKmJFMpEtfeAloPUSzbbKHWcToRTXRsfXQEkpygAGbosPbyjqxhAcuddRuNJeqbmwbdhcZypPdDvL
49,49,204,587,139,2020-02-18,qTfuoitorWXxeZJvZUrsvSNLjDdnYJITHpgIjrpShYKuVThZTGRQPIZNYFMSDrGCPQdLYsiHfDRVYRNqegbHEqStmbaFXrOXJKlSmcObMHOkNWHBDhTxrKnbCDtdfnpIlXNMkVAFGBvnlnbeklYgcoOwPuHSfggFocufyQUTiiEaVBOMfWsiYbiQLGNFZWIJwwUXXqci
50,50,339,52,352,2020-02-19,qguDtpyjAiVSPQeQnjEbrqgoDfsCGgTakTZEJcGHFMJITZPJZNskahYJcEtXejQjSIiShCWzlLyFdNLiVfYtlNkwhIudXLlnalCCIQqjDMJSxVKVkbooAvRmZsPvGRpqvzmzXyYzdAnnBgUElUXLyfmhIIbawcjEQoxRIFUoCDraYXBDMiMYaehLwLApMUNlhbUxtygx
51,51,62,126,123,2020-02-20,cfZOgweDutCPqLnDjSBSvzNZCuelRHDsAtTSkRhSzwFdAJHGvrfIrNmIkwIGNlJEVWfhFdcyttXTfyoxycbqKajPeMVKXaXGDvioPLvmEbScUcIfNjRCMOeGGBtXYHrOViMyRxqUjfrIsnBfnevCzTltpckceepZZCOJvhmMCQFYYXHDvYzxwEGYfNaeGPYdBdKLpdPV
52,52,517,267,111,2020-02-21,jFuIUGCukPGJTqQGHkqgRnWHUZVUBBbGaCmURCUvIFjvqZbObcTJwOUOKEDhRsaRENfRCrwcACdeuWHdHhWAkPDXLUPdwmrqQozERwlkILeRWxVzoJZMidiYQIfuDqsGXbKDNXmjYreBomxLSDxqJPsOkfsgmIAiHwquJdcXgPjeGabLLzpUoogDwLirCcZFmQBjtklx
53,53,517,463,527,2020-02-22,KJmptRatjMkFgupsLivHwTgkiOjkLBYLeolixLhnCIrasWUOQlOoBgDmcbDrgkOelKzwyHvBKXEjHOuiBaHEsZDIMuDkLGTyjOlUCYrJAwyikNYwXSzkYlyDgXvIRQCaZUNGryvumiMyVIDvgFuSVUnqmmybwWYnSTKFkWKGBLzMwUCrIYbungvPlCoZLdAVqAukZhMo
54,54,260,517,451,2020-02-23,yDBZgjNVdzZnhNIgmbEzPOZNgbYHTbtrHNAoyDeijCnXztsgXWnwLiRXuNqYTUQgWoyaaOtCaMLUWgoIIzPPkIHuPdRwZmduVNeUaLAKQqBCGLPaKfwsFVaoEKLFKEtznxQcQhRlUaKPiZHDBvWlMLjQLvNPDUaNYCxVQRQPOgDvannEQGtUjDFuCudbBvbeTywTpgpZ
55,55,422,426,295,2020-02-24,joxmPtzyRvvESaUIZNbPNySzuvMnZPIhtOjYcXNTdoXrVBKFJLYJksWypFeMWfrdrnRRrnYVHRpSSjtfknZYjBQpnYMxOIAypVtXIOyuQxMcysCqpzGMaCBLBaXuxoqpmUNMtFtoPSABGBEzEDYxxDzBbGzSYirUzktITRQSSQjsoJFneeJaDRquIgBnrqQSsmTFZoUT
56,56,244,398,481,2020-02-25,jHlRqgYphhkTDTbKVJPYkHwNiULtYsUsgpNxmUHdbCzkhkwlgTTgDQZZYmExZcXfAhAjpMagjAMOCBFgyhhvwqTKDGMLaLqPwFVsdbMOMMkKBDKvYtktcKsSwxPLRrCPpNGbUxiGkVVWhKcqTGhjoYmbPkhfUVoDSCGlsxPZInKKgdVcyMlEQsybBxCMzCHJQWQWPMLW
57,57,62,546,158,2020-02-26,eizlzlYniDPHGgqUtVQgfgzCfWrNJWtXPDCUxTbJbGzxhRFTIDupXjXSMBmOtpDtszLUKMJETPRFVWCXjvlHFsfGQoouYgxYUJbVKkhozthoJCYzPLGJmGgPHhufRgmXFQxiinhNxvhJBSpHXKmSUPxGuzaWVCcgEhxrzfMzCXTGjrCJLrfHFxkBISUpDIBLTDkJzLAU
58,58,95,316,484,2020-02-27,LhwPGUwbhDvopbyxMOjWwWLNqBfpfoKktEqCxpuqgONUNgTrKJFKUaFxYjxsLmoSVqhLKPtRLrsKlSAISybtQXcvMLfgvJeqHRtBkHrnUpdXpbiYVmHoNXUpctAuQoubenstDMwArVMfjBukIUsPSAEyDIhABPuAjNNZuLkIpntzupXAfMiJlrqkzCXmHYHRNlEUftPz
59,59,31,544,86,2020-02-28,iabfIxuEzmnTJqgUDFFAcbmadyxpKnFzUAeYGrbzCcjZRBtSbrFCQvUenqXSQPpVUnXJKREjLgwYGMrkjvbcAeFWKElbRUxBwMkHPVJNYPkkPmGwzrIulXBGKOLxmwYlKrioetIvvrmTZDeggHYjrubhVPIrvsbeNjGoPfOXlRArWLRhincNZfoJqDVQkBHSGWBhSBMP
60,60,579,395,277,2020-02-29,heEOQeudXEaUwnXtmnHYVXQbbiITpmwiFvvGQHFPJFYLmsoIaSpvlbEYKjRpozLcbyDGbZpJwksxSwbfwRYGWZKBMLOZyyOOkcQeBnAhoWnWgFerVqUzWvJNaoDonHpvbVBIyWLzwNqguzXyUvseeLwITSuxacQkZkccwyUraUowjtLeadeHXbeZXwikSaAqLgxEZZOg
61,61,98,7,159,2020-03-01,dNOSdYnDFWFxhXtCiYORMVuOdOPUqInwwnpELsgwJavpiMUiNSkHvvCaXrEQaIeyCoxkoGDeNyeMqhxKVVTTQKKRrOpWUlFWoHdoAVnYCBPyiSTBDYVQfmNCocsEeSkjSVltLhdoPCxlzIccfKQumvHKNJKTLEkdznEiNVYdFoyABjPvyzaZhwrtlUBISXHqzMYiAKfL
62,62,489,410,429,2020-03-02,HOYYcDpcisHGKBVQzpDPlMXnfrHrOhuHdBdDkmZRhqRAYwanwCjOsUbBarKOEcREtPfwbWKGNqCkDbZRQotQINbKdlWAlcSXwjARAuQDdIkZfUteiytZjtzulbTyNcVOQXUUvahUgMpbFecaoPEddMDkBumEAxwaQMOwCnymBtuclLNTbaNlEwwLmkiXLurhWxftqIxE
63,63,138,138,178,2020-03-03,sjKxldMIixcWboYWpmTeAPGsZwNNUuJUpQwAYuNEPObIxUaeDkaabahVCYGWofQYhMJFSSWYmCSylcoBjEKPEGppxFvnByphgttUYKsXwYHTjOmHPNULJURWkdxxTgoIPyPIIJXmkgkpdyHwhGTelSSQoinzzynTcmVMMMbCoBbvskXmOWVsRizqDgtAKRUpWmtfGgSW
64,64,562,25,70,2020-03-04,wAMKKuFAxbUXkYiAAOZwqSBUzYqQkPfWFPvkqAbSXbxJdBPNRqubmFFzDLTKwbKmwncVQmFgVqzpmHtawghQzPMNvCPpRIeaGTXESYlGrjcQaNqXfVJUeCQXhQOrGHVQfUjrXCDzygGgswUvoeFjQscGkJhXjGjzcuBakQRHXfdklvbgwSuVSRpKbbJooqlXjQRpaKnP
65,65,541,555,476,2020-03-05,kJXPXazxEMOdBTizkDZYFjNfBaxWDlJOGnnWqFChVbLJfxNGsAznVNsvOiKyALgIDvpBuuqSTJccXPWroWNYuyIcxRbvxLrejstJcpRtXWwqLePojCcqSrdqFeceawzEMCVbkItSKXsaScylviwopURHBxbfHBFzANYfaJEDgROoaYYFXXdYYkFRybCHpnseCvFIQcUx
66,66,350,130,160,2020-03-06,PkLgaccPvKCHVpWWQLWdzIVvPLuWyheUJuLqxLoIzfyZvLzOISdNOPMAdYrivPNRqgQIkrSBBcpTXwTfwKsryevVkVMCjDWLzRdeLKimuKbGmDoqnviPtcmwtOcqywyJnrZaXMvMbpqjSdwaehMnopIHJbZOskkeHQujutBDNVUesGHcUrYUDseCqQZubbKnHfTIIHAm
67,67,23,207,584,2020-03-07,UYeHdjAxZlBVyBvHaDRNlhKNwUaYphcyoByUywOhztjYCtQrVPvQKsobCjMrzIQjWIdrdotWbheOrjxpDlYQBjBdhfJkOpwrZQgrTtusrQBMAeVmhBdRDvEQNHqgPwFGXxCkenURGAFJQweuHCiMexdrAQLnGFeeoZwvGNJUlaUNksMBSBCezfHTGODWzoFrRpxqeamt
68,68,85,102,48,2020-03-08,ekfDRZnuYnNqRmKlBNWapCovdVEjaojHydrrXkzokFDiLDcDvydzambaqvWcgerMFpHyZpyFMEMSHLHQsZTDQnMayVCfWnZQXtyiqSHmDcqxdfUBsaXfxoNaqSGEsgzlVQRizNmXMITzYwwpkyUFStPJPVCnCBWwLPMPFtUAmiUaJYSSSZVOyspRCvZQzSMOQbtGVklj
